candidate_name,type,pdb_id_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_chain_ids_u,ag_pdb_id_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps,one_side_gaps,long_gaps,total_gaps
5ezo_H+L|A_2,U:U,5EZO,H:L,A,5EZL,A:B,5TIK,A,0,3,small molecules with 7 < n_atoms <= 15 detected,0,0,0,1,1,0,0,6
5ezo_H+L|A_3,U:U,5EZO,H:L,A,5EZL,H:L,5TIK,A,0,3,small molecules with 7 < n_atoms <= 15 detected,0,0,0,1,1,0,0,6
5ezo_H+L|A_5,U:U,5EZO,H:L,A,5EZI,H:L,5TIK,B,0,3,small molecules with 7 < n_atoms <= 15 detected,0,0,0,1,1,0,0,5
5ezo_H+L|A_6,U:U,5EZO,H:L,A,5EZL,A:B,5TIK,B,0,3,small molecules with 7 < n_atoms <= 15 detected,0,0,0,1,1,0,0,5
5ezo_H+L|A_7,U:U,5EZO,H:L,A,5EZL,H:L,5TIK,B,0,3,small molecules with 7 < n_atoms <= 15 detected,0,0,0,1,1,0,0,5
5ezo_H+L|A_9,U:U,5EZO,H:L,A,5EZI,H:L,5TIK,C,0,3,small molecules with 7 < n_atoms <= 15 detected,0,0,0,1,1,0,0,4
5ezo_H+L|A_10,U:U,5EZO,H:L,A,5EZL,A:B,5TIK,C,0,3,small molecules with 7 < n_atoms <= 15 detected,0,0,0,1,1,0,0,4
5ezo_H+L|A_11,U:U,5EZO,H:L,A,5EZL,H:L,5TIK,C,0,3,small molecules with 7 < n_atoms <= 15 detected,0,0,0,1,1,0,0,4
5ezo_H+L|A_13,U:U,5EZO,H:L,A,5EZI,H:L,5TIK,D,0,3,small molecules with 7 < n_atoms <= 15 detected,0,0,0,1,1,0,0,4
5ezo_H+L|A_14,U:U,5EZO,H:L,A,5EZL,A:B,5TIK,D,0,3,small molecules with 7 < n_atoms <= 15 detected,0,0,0,1,1,0,0,4
5ezo_H+L|A_15,U:U,5EZO,H:L,A,5EZL,H:L,5TIK,D,0,3,small molecules with 7 < n_atoms <= 15 detected,0,0,0,1,1,0,0,4
5ezo_H+L|A_0,U:U,5EZO,H:L,A,5EZJ,A:B,5TIK,A,1,3,small molecules with 7 < n_atoms <= 15 detected,0,0,0,1,1,0,0,6
5ezo_H+L|A_4,U:U,5EZO,H:L,A,5EZJ,A:B,5TIK,B,1,3,small molecules with 7 < n_atoms <= 15 detected,0,0,0,1,1,0,0,5
5ezo_H+L|A_8,U:U,5EZO,H:L,A,5EZJ,A:B,5TIK,C,1,3,small molecules with 7 < n_atoms <= 15 detected,0,0,0,1,1,0,0,4
5ezo_H+L|A_12,U:U,5EZO,H:L,A,5EZJ,A:B,5TIK,D,1,3,small molecules with 7 < n_atoms <= 15 detected,0,0,0,1,1,0,0,4
